E.,Sigle,Site.,SiteName,LatDD,LonDD,Elevation,PolDiv1,Name,Responsible,Age model,Use,Upper depth,Lower depth
1,ADANGE,1,Adange,43.31,41.33,1750,GEO,Georgia,Basil,2,Y,,
2,AGE,2,Agerods Mosse,55.83,13.42,58,SWE,Sweden,Thomas,2,Y,,
3,AHL5,3,Ahlenmoor,53.7,8.73,2,DEU,Germany,Thomas,2,Y,,
4,AKUV,4,Akuvaara,69.13,27.68,170,FIN,Finland,Thomas,2,Y,,
5,AMTKEL,5,Amtkel,43.27,41.31,1830,GEO,Georgia,Basil,1,Y,,
6,ARTSLOUG,6,Arts Lough,52.95,-6.43,490,IRL,Ireland,Thomas,2,Y,,80
7,BALLIN,7,Ballinloghig Lake,52.2,-10.31,84,IRL,Ireland,Thomas,2,Y,,
8,BALLYBET,8,Ballybetagh,53.17,-6.25,250,IRL,Ireland,Thomas,2,Y,,
9,BRUVAT,9,Bruvatnet,70.18,28.42,119,NOR,Norway,Thomas,2,Y,,
10,CARNINO,10,Selle di Carnino,44.15,7.69,1905,ITA,Italy,Walter,2,Y,35,435
11,CHABADA2,11,Chabada Lake,61.98,129.37,290,RUS,Russia,Thomas,1,Y,,
12,CHERNIH,12,Chernikhovo,53.42,26.43,168,BLR,Belarus,,2,Y,,
13,CHIVRES,13,Le Marais St Boetien,49.62,3.82,71.62,FRA,France,Simon,2,Y,,
14,CS-4,14,Voros-mocsar,46.48,19.19,91,HUN,Hungary,Walter/Basil,1,Y,,
15,CTAR,15,Starniki,50.27,26.02,198,UKR,Ukraine,Thomas,2,Y,,
16,DERPUT,16,Derput,57.03,124.12,700,RUS,Russia,Thomas,1,Y,,
17,DOMSV,17,Domsvatnet,70.32,31.03,120,NOR,Norway,Thomas,2,Y,,
18,AVRIG1,18,Avrig,45.72,24.38,400,ROU,Romania,Basil,1,Y,,
19,EDESSA,19,Edessa,40.82,21.95,350,GRC,Greece,Basil,1,Y,,
