,pvar,pvarcode,pvarname,cutoff,use
1,1,Abi,Abies,0.005,1
2,1987,Abi.a,Abies alba,0.005,1
3,2644,Abi.m,Abies maroccana,0.005,1
4,2493,Abi.n,Abies nordmanniana,0.005,1
5,2571,Abi.s,Abies sibirica,0.005,1
6,2,Abi.ud,Abies undiff.,0.005,1
7,991,Abi.stom,Abies: stomata,0.005,1
8,1869,Abu,Abutilon,0.005,1
9,3,Aca,Acacia,0.005,1
10,2721,Acanteae,Acanthaceae,0.005,1
11,1852,Alm,Acantholimon,0.005,1
12,1763,Atu,Acanthus,0.005,1
13,3364,Atu-T,Acanthus-type,0.005,1
14,2897,Aca-T,Acaulon-type,0.005,1
15,4,Ace,Acer,0.005,1
16,1152,Ace.c,Acer campestre,0.005,1
17,1489,Ace.c-T,Acer campestre-type,0.005,1
18,5,Ace.cf.c,Acer cf. A. campestre,0.005,1
19,1104,Ace.cf.n,Acer cf. A. negundo,0.005,1
20,3337,Ace.n,Acer negundo,0.005,1
21,2676,Ace.n-T,Acer negundo-type,0.005,1
22,3609,Acer.p,Acer platanoides,0.005,1
23,1079,Ace.p,Acer pseudoplatanus,0.005,1
24,3626,Ace.ud,Acer undiff.,0.005,1
25,6,Ace-T,Acer-type,0.005,1
26,1148,Aceae,Aceraceae,0.005,1
27,7,Ach,Achillea,0.005,1
28,3583,Ach.m,Achillea moschata,0.005,1
29,8,Ach-T,Achillea-type,0.005,1
30,1646,Ach/Ast,Achillea/Aster,0.005,1
31,3429,Ach/AstT,Achillea/Aster-type,0.005,1
32,9,Acn,Aconitum,0.005,1
33,3457,Aco.n-T,Aconitum napellus-type,0.005,1
34,3541,Aco.n-n,Aconitum non-napellus,0.005,1
35,3405,Acn-G,Aconitum-group,0.005,1
36,1616,Aco-T,Aconitum-type,0.005,1
37,10,Acr,Acorus calamus,0.005,1
38,1671,Acritar,Acritarchs,0.005,1
39,2354,Acp,Acroptilon,0.005,1
40,1900,Ate,Actaea,0.005,1
41,3409,Act.s,Actaea spicata,0.005,1
42,3128,Ate.s-T,Actaea spicata-type,0.005,1
43,2910,Added.e,Added exote (grains/ml),0.005,1
44,2934,Ade,Adenostyles,0.005,1
45,1293,Adi,Adiantum,0.005,1
